# name NORAD_ID
STARLINK-11089 59426
STARLINK-11098 59760
STARLINK-11099 59716
STARLINK-11112 60115
STARLINK-11137 60050
STARLINK-11169 60064
STARLINK-11170 60068
STARLINK-11193 60195
STARLINK-11196 60408
STARLINK-11203 60117
STARLINK-11227 60303
STARLINK-11234 60400
STARLINK-11238 60928
STARLINK-11286 61050
STARLINK-11294 61054
STARLINK-11317 61248
STARLINK-11319 61251
STARLINK-11342 61580
STARLINK-11357 61541
STARLINK-11375 61577
STARLINK-11376 61575
STARLINK-11402 61874
STARLINK-1171 45062
STARLINK-1193 45100
STARLINK-1260 45404
STARLINK-1266 45383
STARLINK-1335 45581
STARLINK-1403 45701
STARLINK-1413 45689
STARLINK-1451 45668
STARLINK-1506 45747
STARLINK-1522 46027
STARLINK-1527 46048
STARLINK-1542 46073
STARLINK-1570 46059
STARLINK-1577 46063
STARLINK-1578 46082
STARLINK-1623 46129
STARLINK-1781 46685
STARLINK-1928 46758
STARLINK-2029 48320
STARLINK-2061 48312
STARLINK-2081 47366
STARLINK-2082 47367
STARLINK-2093 47374
STARLINK-2099 47379
STARLINK-2130 47405
STARLINK-2140 47730
STARLINK-2144 47734
STARLINK-2153 48009
STARLINK-2169 47752
STARLINK-2222 48572
STARLINK-2303 47981
STARLINK-2314 47788
STARLINK-2319 47790
STARLINK-2329 47873
STARLINK-2330 47874
STARLINK-2399 47816
STARLINK-2420 47831
STARLINK-2421 48098
STARLINK-2433 47841
STARLINK-2461 48428
STARLINK-2469 48128
STARLINK-2483 48140
STARLINK-2521 48648
STARLINK-2531 48483
STARLINK-2563 48410
STARLINK-2564 48284
STARLINK-2571 48401
STARLINK-2576 48400
STARLINK-2579 48459
STARLINK-2592 48408
STARLINK-2616 48695
STARLINK-2622 48360
STARLINK-2629 48686
STARLINK-2634 48445
STARLINK-2699 48433
STARLINK-2707 48669
STARLINK-2712 48674
STARLINK-2739 48639
STARLINK-2751 48685
STARLINK-30067 56693
STARLINK-30081 57515
STARLINK-30084 56825
STARLINK-30085 56709
STARLINK-30092 57467
STARLINK-30103 56290
STARLINK-30114 56826
STARLINK-30131 56833
STARLINK-30217 57450
STARLINK-30226 57497
STARLINK-30228 57502
STARLINK-30246 57615
STARLINK-30254 57533
STARLINK-30258 57608
STARLINK-30260 57524
STARLINK-30285 57840
STARLINK-30300 57715
STARLINK-30308 57742
STARLINK-30310 57733
STARLINK-30316 57673
STARLINK-30329 57635
STARLINK-30339 57882
STARLINK-30347 57699
STARLINK-30359 57779
STARLINK-30402 57827
STARLINK-30409 57820
STARLINK-30414 57859
STARLINK-30429 57876
STARLINK-3045 49173
STARLINK-30464 57908
STARLINK-30468 57926
STARLINK-30470 57892
STARLINK-30473 57893
STARLINK-30487 57924
STARLINK-30497 58011
STARLINK-30500 58076
STARLINK-3052 49165
STARLINK-30540 58002
STARLINK-30544 58055
STARLINK-30547 58044
STARLINK-30549 58030
STARLINK-30552 57999
STARLINK-30564 58043
STARLINK-3057 49139
STARLINK-30577 58053
STARLINK-30589 58103
STARLINK-30598 58079
STARLINK-30612 58106
STARLINK-30615 58092
STARLINK-30706 57947
STARLINK-30759 58122
STARLINK-30761 58134
STARLINK-30768 58120
STARLINK-30789 58166
STARLINK-30792 58220
STARLINK-30795 58118
STARLINK-30821 58181
STARLINK-30824 58176
STARLINK-30825 58384
STARLINK-30839 58209
STARLINK-30848 58240
STARLINK-30854 58244
STARLINK-30884 58372
STARLINK-30886 58246
STARLINK-30892 58366
STARLINK-30903 58355
STARLINK-30904 58364
STARLINK-30912 58422
STARLINK-30926 58448
STARLINK-30984 58480
STARLINK-30985 58493
STARLINK-30986 58492
STARLINK-31001 58527
STARLINK-31002 58495
STARLINK-31005 58486
STARLINK-31016 58548
STARLINK-31027 58720
STARLINK-31029 58712
STARLINK-31047 58783
STARLINK-31065 58627
STARLINK-31075 58594
STARLINK-31100 58714
STARLINK-31113 58668
STARLINK-31142 58779
STARLINK-31149 58863
STARLINK-31189 58787
STARLINK-31191 58800
STARLINK-31200 58862
STARLINK-31201 58870
STARLINK-31225 59040
STARLINK-31227 59026
STARLINK-31236 58841
STARLINK-3124 49456
STARLINK-31243 58894
STARLINK-31248 58840
STARLINK-31250 58839
STARLINK-31255 58893
STARLINK-31263 58832
STARLINK-31267 59468
STARLINK-31277 59651
STARLINK-31280 58843
STARLINK-31298 59167
STARLINK-31305 59232
STARLINK-31314 58967
STARLINK-3133 49416
STARLINK-31336 58944
STARLINK-31342 59166
STARLINK-31344 59171
STARLINK-31355 58978
STARLINK-31356 58968
STARLINK-31359 58945
STARLINK-3136 49443
STARLINK-31365 58973
STARLINK-3137 49449
STARLINK-31372 58939
STARLINK-31389 59013
STARLINK-31395 59180
STARLINK-31404 59521
STARLINK-31406 59017
STARLINK-31424 59247
STARLINK-31436 59019
STARLINK-31439 59178
STARLINK-31444 59236
STARLINK-31445 59312
STARLINK-31454 59014
STARLINK-31456 59007
STARLINK-31479 59316
STARLINK-31486 59181
STARLINK-3149 49423
STARLINK-31512 59500
STARLINK-31574 59543
